Time,TX,TY,TZ
Seconds,"mm","mm","mm"
0,"18.4218","26.3206","15.3104"
0.00833333,"18.4266","26.3244","15.3177"
0.0166667,"18.4237","26.3222","15.3253"
0.025,"18.418","26.3266","15.3142"
0.0333333,"18.4281","26.3282","15.3077"
0.0416667,"18.4242","26.3176","15.285"
0.05,"18.4011","26.3028","15.2882"
0.0583333,"18.4033","26.2863","15.2723"
0.0666667,"18.3873","26.2736","15.2568"
0.075,"18.3764","26.2722","15.2841"
0.0833333,"18.3798","26.2712","15.2717"
0.0916667,"18.393","26.2866","15.2684"
0.1,"18.4031","26.3011","15.2932"
0.108333,"18.4029","26.3277","15.3186"
0.116667,"18.4125","26.3189","15.2952"
0.125,"18.4106","26.3129","15.2985"
0.133333,"18.3938","26.3053","15.2847"
0.141667,"18.41","26.3265","15.3172"
0.15,"18.4119","26.3062","15.2995"
0.158333,"18.4151","26.2966","15.3064"
0.166667,"18.4129","26.3016","15.3093"
0.175,"18.4056","26.2812","15.2616"
0.183333,"18.4081","26.2761","15.2331"
0.191667,"18.4084","26.2633","15.2163"
0.2,"18.422","26.2674","15.2129"
0.208333,"18.4112","26.2828","15.2319"
0.216667,"18.3943","26.2911","15.2682"
0.225,"18.3934","26.3031","15.3179"
0.233333,"18.3865","26.3248","15.3598"
0.241667,"18.3746","26.3187","15.3641"
0.25,"18.3997","26.3153","15.3359"
0.258333,"18.3818","26.3146","15.3089"
0.266667,"18.4121","26.2791","15.2506"
0.275,"18.4214","26.277","15.2025"
0.283333,"18.4166","26.3033","15.227"
0.291667,"18.4181","26.2984","15.2499"
0.3,"18.4107","26.3083","15.3062"
0.308333,"18.3979","26.3152","15.3479"
0.316667,"18.4181","26.3254","15.3579"
0.325,"18.4182","26.3222","15.3518"
0.333333,"18.4041","26.3158","15.3238"
0.341667,"18.4054","26.3044","15.301"
0.35,"18.4022","26.2967","15.23"
0.358333,"18.4092","26.2672","15.1814"
0.366667,"18.392","26.2687","15.2038"
0.375,"18.3867","26.2816","15.2499"
0.383333,"18.3869","26.289","15.3045"
0.391667,"18.3807","26.3001","15.3452"
0.4,"18.3817","26.3389","15.4002"
0.408333,"18.396","26.3477","15.4064"
0.416667,"18.4107","26.3537","15.3489"
0.425,"18.4309","26.3825","15.3545"
0.433333,"18.4296","26.3149","15.2575"
0.441667,"18.4442","26.301","15.2334"
0.45,"18.4249","26.2728","15.2223"
0.458333,"18.4101","26.2589","15.2453"
0.466667,"18.4021","26.2779","15.2634"
0.475,"18.3876","26.2718","15.3006"
0.483333,"18.3942","26.2995","15.3257"
0.491667,"18.3898","26.3116","15.3371"
0.5,"18.3963","26.3317","15.3293"
0.508333,"18.3946","26.3061","15.3039"
0.516667,"18.4051","26.2816","15.254"
0.525,"18.4151","26.263","15.253"
0.533333,"18.4056","26.2614","15.2575"
0.541667,"18.3941","26.2843","15.2804"
0.55,"18.4067","26.2906","15.2952"
0.558333,"18.3791","26.3185","15.3286"
