Time,"Position - cf13",,
,"TX","TY","TZ"
Seconds,"mm","mm","mm"
0,"16.9534","27.4706","14.8681"
0.00833333,"16.925","27.4766","14.8175"
0.0166667,"16.9488","27.4637","14.7882"
0.025,"16.9509","27.4699","14.7722"
0.0333333,"16.9086","27.4547","14.7848"
0.0416667,"16.8897","27.4511","14.8259"
0.05,"16.9355","27.4648","14.8602"
0.0583333,"16.926","27.4565","14.8758"
0.0666667,"16.9142","27.4887","14.8802"
0.075,"16.8974","27.4642","14.8502"
0.0833333,"16.9022","27.4344","14.8334"
0.0916667,"16.8968","27.4576","14.8384"
0.1,"16.9342","27.4512","14.8464"
0.108333,"16.9119","27.4649","14.8094"
0.116667,"16.9055","27.4264","14.7972"
0.125,"16.9229","27.4458","14.8225"
0.133333,"16.9212","27.4154","14.7999"
0.141667,"16.9273","27.4712","14.8309"
0.15,"16.933","27.4594","14.8682"
0.158333,"16.9239","27.4496","14.8671"
0.166667,"16.9136","27.4662","14.8538"
0.175,"16.8808","27.456","14.821"
0.183333,"16.9492","27.5427","14.8283"
0.191667,"16.9669","27.5494","14.8326"
0.2,"16.9094","27.4794","14.8191"
0.208333,"16.8944","27.4814","14.8372"
0.216667,"16.913","27.4755","14.8586"
0.225,"16.932","27.4542","14.872"
0.233333,"16.9538","27.4356","14.8508"
0.241667,"16.8808","27.3776","14.7991"
0.25,"16.9283","27.4608","14.8359"
0.258333,"16.9342","27.4863","14.8385"
0.266667,"16.9365","27.4973","14.822"
0.275,"16.9208","27.5039","14.8052"
0.283333,"16.9058","27.4621","14.7912"
0.291667,"16.9452","27.4509","14.8127"
0.3,"16.9119","27.4251","14.8023"
0.308333,"16.889","27.4084","14.8321"
0.316667,"16.9118","27.4592","14.8555"
0.325,"16.8977","27.4187","14.8315"
0.333333,"16.9234","27.5114","14.8617"
0.341667,"16.9284","27.4948","14.8215"
0.35,"16.9401","27.4667","14.7694"
0.358333,"16.9371","27.4794","14.7993"
0.366667,"16.9176","27.4635","14.8216"
0.375,"16.8848","27.4601","14.8362"
0.383333,"16.8805","27.4319","14.8255"
0.391667,"16.9086","27.4265","14.8481"
0.4,"16.9045","27.4143","14.8477"
0.408333,"16.9175","27.3958","14.8186"
0.416667,"16.8997","27.4297","14.7999"
0.425,"16.9289","27.4515","14.8053"
0.433333,"16.9258","27.493","14.7875"
0.441667,"16.9516","27.5365","14.817"
0.45,"16.9006","27.4898","14.8094"
0.458333,"16.924","27.44","14.8322"
0.466667,"16.8928","27.4448","14.8459"
0.475,"16.903","27.4254","14.8599"
0.483333,"16.9046","27.4266","14.8462"
0.491667,"16.9315","27.4739","14.8344"
0.5,"16.9514","27.496","14.8392"
0.508333,"16.9517","27.4799","14.8101"
0.516667,"16.9359","27.4889","14.7999"
0.525,"16.8981","27.4582","14.8099"
0.533333,"16.9498","27.4946","14.8564"
0.541667,"16.9467","27.4836","14.8896"
0.55,"16.9294","27.4701","14.8685"
0.558333,"16.9121","27.4464","14.8337"
0.566667,"16.9269","27.4232","14.8076"
0.575,"16.9197","27.4058","14.7865"
0.583333,"16.973","27.491","14.8079"
0.591667,"16.9459","27.4488","14.7904"
0.6,"16.9241","27.4587","14.8036"
0.608333,"16.9182","27.4602","14.8397"
0.616667,"16.9659","27.5019","14.8686"
0.625,"16.9241","27.4681","14.8562"
0.633333,"16.9209","27.4786","14.8602"
0.641667,"16.9324","27.5051","14.8626"
