Time,"Position - cf13",,
,"TX","TY","TZ"
Seconds,"mm","mm","mm"
0,"17.4272","25.3659","14.8107"
0.00833333,"17.4749","25.3599","14.7891"
0.0166667,"17.3826","25.3295","14.7319"
0.025,"17.3212","25.2798","14.6699"
0.0333333,"17.3849","25.2503","14.7037"
0.0416667,"17.3585","25.253","14.736"
0.05,"17.3954","25.2529","14.754"
0.0583333,"17.3278","25.2782","14.7253"
0.0666667,"17.4162","25.3716","14.8071"
0.075,"17.3927","25.3785","14.7835"
0.0833333,"17.4466","25.4688","14.8038"
0.0916667,"17.4921","25.4899","14.8294"
0.1,"17.4248","25.402","14.8197"
0.108333,"17.4323","25.389","14.795"
0.116667,"17.3752","25.3038","14.7408"
0.125,"17.3907","25.2985","14.713"
0.133333,"17.4212","25.3272","14.7141"
0.141667,"17.3452","25.2533","14.6708"
0.15,"17.4077","25.3453","14.745"
0.158333,"17.3483","25.3025","14.7506"
0.166667,"17.3879","25.4063","14.8022"
0.175,"17.3556","25.3296","14.7788"
0.183333,"17.33","25.3293","14.7732"
0.191667,"17.3628","25.3791","14.7852"
0.2,"17.3211","25.2821","14.7137"
0.208333,"17.3745","25.3159","14.7257"
0.216667,"17.4714","25.3484","14.7715"
0.225,"17.4363","25.3707","14.7406"
0.233333,"17.3568","25.2978","14.7031"
0.241667,"17.3506","25.34","14.7278"
0.25,"17.3744","25.2947","14.7241"
0.258333,"17.3422","25.3343","14.764"
0.266667,"17.4314","25.3712","14.8507"
0.275,"17.4336","25.4288","14.839"
0.283333,"17.3765","25.3163","14.7425"
0.291667,"17.4376","25.3696","14.7736"
0.3,"17.4461","25.3724","14.761"
0.308333,"17.3767","25.3179","14.7088"
0.316667,"17.3711","25.2971","14.7144"
0.325,"17.3742","25.3167","14.7345"
0.333333,"17.4069","25.34","14.7763"
0.341667,"17.4114","25.4022","14.798"
0.35,"17.4028","25.3679","14.7975"
0.358333,"17.4244","25.3984","14.7997"
0.366667,"17.4459","25.3255","14.7783"
0.375,"17.4721","25.3153","14.7916"
0.383333,"17.4833","25.331","14.7881"
0.391667,"17.4323","25.3261","14.7611"
0.4,"17.4348","25.3091","14.7495"
0.408333,"17.4201","25.2909","14.7158"
0.416667,"17.3969","25.285","14.7093"
0.425,"17.4308","25.3624","14.7483"
0.433333,"17.4805","25.3662","14.8103"
0.441667,"17.388","25.3581","14.8028"
0.45,"17.3385","25.2927","14.7767"
0.458333,"17.3775","25.29","14.7864"
0.466667,"17.318","25.2747","14.737"
0.475,"17.3445","25.3259","14.7298"
0.483333,"17.3702","25.3035","14.7277"
0.491667,"17.3945","25.3296","14.7365"
0.5,"17.4065","25.4109","14.758"
0.508333,"17.4679","25.4172","14.7997"
0.516667,"17.5063","25.408","14.8185"
0.525,"17.4915","25.4237","14.8399"
0.533333,"17.4458","25.3922","14.8378"
0.541667,"17.3821","25.2766","14.7695"
0.55,"17.4586","25.4071","14.7891"
0.558333,"17.3776","25.2912","14.7318"
0.566667,"17.4449","25.3506","14.7739"
0.575,"17.3826","25.3052","14.7175"
0.583333,"17.395","25.3606","14.7258"
0.591667,"17.4232","25.4262","14.7718"
0.6,"17.4004","25.3945","14.752"
0.608333,"17.4111","25.4393","14.7813"
0.616667,"17.38","25.3649","14.7649"
0.625,"17.3602","25.339","14.7656"
0.633333,"17.4132","25.3822","14.8248"
0.641667,"17.3493","25.3172","14.7727"
0.65,"17.3273","25.2792","14.7219"
