Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
153,0,"12.3106","26.5229","11.8827"
154,0,"12.2838","26.5846","11.8447"
155,0,"12.3149","26.6666","11.7609"
156,0,"12.305","26.7245","11.7427"
157,0,"12.3196","26.8524","11.6904"
158,0,"12.3201","26.9789","11.6544"
159,0,"12.3215","27.1653","11.7089"
160,0,"12.345","27.3203","11.6979"
161,0,"12.3185","27.5034","11.7622"
162,0,"12.3024","27.6701","11.7929"
163,0,"12.3063","27.7841","11.7937"
164,0,"12.324","27.9271","11.8272"
165,0,"12.3435","28.058","11.8318"
166,0,"12.3963","28.1793","11.8096"
167,0,"12.4704","28.3089","11.7893"
168,0,"12.5087","28.4383","11.7754"
169,0,"12.5222","28.5797","11.8155"
170,0,"12.5591","28.6542","11.8426"
171,0,"12.5737","28.771","11.8993"
172,0,"12.6136","28.8817","11.9661"
173,0,"12.633","29.0738","12.1229"
174,0,"12.6777","29.2673","12.2174"
175,0,"12.7199","29.393","12.2549"
176,0,"12.8169","29.5982","12.3754"
177,0,"12.9101","29.7615","12.4736"
178,0,"13.0054","29.973","12.6961"
179,0,"13.0872","30.1217","12.96"
180,0,"13.2066","30.2992","13.267"
181,0,"13.2819","30.4904","13.6176"
182,0,"13.4346","30.6415","13.9426"
183,0,"13.5582","30.8469","14.3278"
184,0,"13.7197","30.9835","14.6514"
185,0,"13.8688","31.1828","15.1151"
186,0,"14.0171","31.3414","15.6162"
187,0,"14.213","31.5752","16.2534"
188,0,"14.4274","31.7412","16.959"
189,0,"14.5951","31.908","17.7298"
190,0,"14.8336","32.0948","18.5275"
191,0,"15.0397","32.3124","19.3921"
192,0,"15.3169","32.5424","20.3693"
193,0,"15.5666","32.8453","21.4636"
194,0,"15.8484","33.102","22.5585"
195,0,"16.1532","33.3755","23.8199"
196,0,"16.4656","33.6351","25.2227"
197,0,"16.7307","33.8539","26.6559"
198,0,"17.0834","34.1465","28.2204"
199,0,"17.4296","34.3613","29.8358"
200,0,"17.7708","34.5823","31.5326"
201,0,"18.0901","34.8306","33.3008"
202,0,"18.4645","34.998","35.0891"
203,0,"18.7888","35.1574","36.9186"
204,0,"19.1177","35.3573","38.9032"
205,0,"19.4672","35.565","40.9714"
206,0,"19.8065","35.7327","43.1443"
207,0,"20.1084","35.9329","45.4275"
208,0,"20.4864","36.1354","47.7474"
209,0,"20.8118","36.2797","50.1568"
210,0,"21.0949","36.4526","52.6247"
211,0,"21.4637","36.589","55.1672"
212,0,"21.8283","36.8169","57.8536"
213,0,"22.1885","36.973","60.599"
214,0,"22.5385","37.1141","63.4248"
215,0,"22.848","37.2981","66.277"
216,0,"23.2158","37.4327","69.2329"
217,0,"23.5424","37.5688","72.2093"
218,0,"23.8971","37.6743","75.2497"
219,0,"24.2632","37.7615","78.3488"
220,0,"24.6462","37.9214","81.5371"
221,0,"24.9918","38.0305","84.6929"
222,0,"25.3272","38.1435","87.8892"
223,0,"25.6733","38.1929","91.1361"
224,0,"26.004","38.272","94.3839"
225,0,"26.3479","38.3812","97.7673"
226,0,"26.667","38.4814","101.15"
227,0,"27.0092","38.5552","104.577"
228,0,"27.3598","38.6265","108.033"
229,0,"27.7704","38.7183","111.549"
230,0,"28.115","38.7921","115.062"
231,0,"28.4681","38.8226","118.592"
232,0,"28.8413","38.8558","122.166"
233,0,"29.162","38.8913","125.796"
234,0,"29.5518","38.8875","129.463"
235,0,"29.8648","38.8703","133.118"
236,0,"30.1687","38.8365","136.821"
237,0,"30.4904","38.755","140.493"
238,0,"30.8094","38.7199","144.202"
239,0,"31.1541","38.6159","147.9"
240,0,"31.5298","38.6042","151.677"
241,0,"31.8461","38.5825","155.478"
242,0,"32.1561","38.4519","159.249"
243,0,"32.4934","38.3875","163.095"
244,0,"32.7991","38.3183","166.956"
245,0,"33.0905","38.2092","170.815"
246,0,"33.4394","38.1562","174.725"
247,0,"33.7516","38.0766","178.619"
248,0,"34.0513","37.917","182.478"
249,0,"34.3931","37.8199","186.367"
250,0,"34.6958","37.7098","190.224"
251,0,"35.0005","37.5702","194.094"
252,0,"35.3057","37.4139","198.006"
253,0,"35.6061","37.289","201.939"
254,0,"35.8748","37.1426","205.887"
255,0,"36.1784","36.985","209.852"
256,0,"36.4154","36.8309","213.798"
257,0,"36.7154","36.704","217.697"
258,0,"37.0069","36.5338","221.583"
259,0,"37.2925","36.409","225.527"
260,0,"37.5828","36.2171","229.404"
261,0,"37.8391","36.0645","233.298"
262,0,"38.1299","35.8664","237.137"
263,0,"38.3531","35.6878","241.036"
264,0,"38.596","35.4561","244.876"
265,0,"38.8725","35.2686","248.715"
266,0,"39.1022","35.0852","252.52"
267,0,"39.348","34.8513","256.254"
268,0,"39.5872","34.6989","260"
269,0,"39.7802","34.4611","263.686"
270,0,"39.9632","34.2535","267.393"
271,0,"40.1488","34.0307","271.047"
272,0,"40.2935","33.817","274.687"
273,0,"40.464","33.5535","278.274"
274,0,"40.6203","33.3129","281.825"
275,0,"40.7866","33.0675","285.337"
276,0,"40.96","32.8121","288.779"
277,0,"41.086","32.5754","292.216"
278,0,"41.2231","32.328","295.588"
279,0,"41.3399","32.1096","298.968"
280,0,"41.4677","31.8713","302.303"
281,0,"41.5478","31.629","305.642"
282,0,"41.6348","31.3368","308.866"
283,0,"41.7222","31.0669","312.039"
284,0,"41.7981","30.7848","315.159"
285,0,"41.8537","30.5215","318.292"
286,0,"41.9227","30.2302","321.33"
287,0,"41.9895","29.9838","324.332"
288,0,"42.018","29.6662","327.322"
289,0,"42.0503","29.3959","330.253"
290,0,"42.0374","29.0656","333.119"
291,0,"42.0231","28.7718","335.976"
292,0,"42.0381","28.5077","338.829"
293,0,"42.0362","28.2361","341.615"
294,0,"42.041","27.9441","344.306"
295,0,"42.0266","27.6441","346.971"
296,0,"42.0119","27.3625","349.561"
297,0,"41.9692","27.0732","352.154"
298,0,"41.9762","26.7798","354.676"
299,0,"41.9112","26.5127","357.238"
300,0,"41.8774","26.2297","359.729"
301,0,"41.7747","25.9804","362.191"
302,0,"41.7186","25.6579","364.565"
303,0,"41.5766","25.3494","366.922"
304,0,"41.4969","25.0549","369.204"
305,0,"41.4047","24.7841","371.468"
306,0,"41.3119","24.5044","373.657"
307,0,"41.1928","24.2724","375.886"
308,0,"41.0742","23.987","378.04"
309,0,"40.924","23.7515","380.185"
310,0,"40.802","23.4764","382.259"
311,0,"40.6372","23.2302","384.33"
312,0,"40.4829","22.9938","386.36"
313,0,"40.3372","22.7898","388.348"
314,0,"40.1859","22.553","390.288"
315,0,"40.0171","22.3343","392.189"
316,0,"39.8631","22.117","394.025"
317,0,"39.6607","21.9495","395.871"
318,0,"39.4779","21.72","397.65"
319,0,"39.252","21.5581","399.485"
320,0,"39.0606","21.3879","401.278"
321,0,"38.7781","21.1614","403.028"
322,0,"38.5797","20.9906","404.694"
323,0,"38.3213","20.7896","406.34"
324,0,"38.0814","20.6445","407.947"
325,0,"37.8688","20.4714","409.574"
326,0,"37.6456","20.3333","411.185"
327,0,"37.361","20.2017","412.795"
328,0,"37.1112","20.0593","414.327"
329,0,"36.825","19.938","415.855"
330,0,"36.5757","19.8088","417.323"
331,0,"36.2967","19.6766","418.789"
332,0,"35.9986","19.5326","420.251"
333,0,"35.7025","19.4131","421.702"
334,0,"35.4169","19.3258","423.161"
335,0,"35.114","19.1871","424.601"
336,0,"34.7952","19.0839","426.036"
337,0,"34.5057","19.0122","427.439"
338,0,"34.1758","18.9249","428.85"
339,0,"33.8954","18.8458","430.204"
340,0,"33.5734","18.7672","431.547"
341,0,"33.2663","18.6801","432.86"
342,0,"32.9498","18.6339","434.143"
343,0,"32.6446","18.5434","435.446"
344,0,"32.3494","18.5114","436.792"
345,0,"32.0285","18.4695","438.112"
346,0,"31.7257","18.4676","439.446"
347,0,"31.4102","18.4431","440.75"
348,0,"31.0721","18.3955","442.013"
349,0,"30.7891","18.395","443.263"
350,0,"30.5012","18.3393","444.474"
351,0,"30.1794","18.3857","445.714"
352,0,"29.9041","18.3376","446.889"
353,0,"29.5969","18.3469","448.078"
354,0,"29.3014","18.3252","449.205"
355,0,"29.0027","18.2586","450.339"
356,0,"28.6821","18.2419","451.451"
357,0,"28.3868","18.2379","452.555"
358,0,"28.0874","18.2934","453.678"
359,0,"27.7621","18.2974","454.753"
360,0,"27.4846","18.3528","455.864"
361,0,"27.2097","18.3655","456.898"
362,0,"26.91","18.4028","457.933"
363,0,"26.671","18.4348","458.959"
364,0,"26.3803","18.4295","459.934"
365,0,"26.1718","18.4653","460.899"
366,0,"25.9117","18.4837","461.876"
367,0,"25.6286","18.4861","462.798"
368,0,"25.3659","18.5003","463.73"
369,0,"25.1101","18.5002","464.625"
370,0,"24.8507","18.5452","465.589"
371,0,"24.6106","18.5948","466.528"
372,0,"24.4099","18.6483","467.48"
373,0,"24.1739","18.6949","468.365"
374,0,"23.9944","18.737","469.234"
375,0,"23.7958","18.7862","470.089"
376,0,"23.5787","18.7787","470.855"
377,0,"23.3828","18.8619","471.693"
378,0,"23.1718","18.8721","472.469"
379,0,"23.0057","18.9363","473.291"
380,0,"22.7977","18.9695","474.078"
381,0,"22.6233","18.995","474.822"
382,0,"22.4387","19.0655","475.6"
383,0,"22.2939","19.1157","476.336"
384,0,"22.1389","19.1983","477.105"
385,0,"21.9934","19.2317","477.823"
386,0,"21.8347","19.2884","478.552"
387,0,"21.7022","19.3308","479.242"
388,0,"21.4948","19.3492","479.921"
389,0,"21.3611","19.3938","480.622"
390,0,"21.1922","19.4309","481.3"
391,0,"21.0685","19.5026","482.026"
392,0,"20.9483","19.5257","482.684"
393,0,"20.7646","19.5429","483.355"
394,0,"20.6878","19.5804","483.982"
395,0,"20.5534","19.601","484.627"
396,0,"20.7525","20.0422","485.499"
397,0,"20.6591","20.1207","486.149"
398,0,"20.5611","20.1987","486.82"
399,0,"20.4812","20.2669","487.466"
