Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
152,0,"14.1645","21.1191","11.8439"
153,0,"14.1831","21.1638","11.9289"
154,0,"14.2719","21.2082","11.9573"
155,0,"14.3555","21.2545","12.0109"
156,0,"14.4525","21.3545","12.052"
157,0,"14.5207","21.4242","12.1724"
158,0,"14.6066","21.4636","12.2076"
159,0,"14.6932","21.5533","12.2313"
160,0,"14.7877","21.6318","12.2019"
161,0,"14.8883","21.6999","12.1436"
162,0,"14.9916","21.7935","12.1044"
163,0,"15.0465","21.854","12.0955"
164,0,"15.1571","21.9627","12.1676"
165,0,"15.2127","22.0553","12.2913"
166,0,"15.3036","22.1561","12.4333"
167,0,"15.386","22.2769","12.5745"
168,0,"15.4772","22.4437","12.7362"
169,0,"15.5822","22.5421","12.8523"
170,0,"15.7085","22.6755","12.9874"
171,0,"15.8284","22.7976","13.1957"
172,0,"15.9603","22.8783","13.4026"
173,0,"16.1095","23.0494","13.7048"
174,0,"16.2666","23.1522","14.064"
175,0,"16.4755","23.3118","14.5021"
176,0,"16.6698","23.474","15.0321"
177,0,"16.8694","23.5899","15.6153"
178,0,"17.09","23.794","16.3411"
179,0,"17.3836","23.9776","17.1505"
180,0,"17.6599","24.183","18.0883"
181,0,"17.9652","24.4031","19.0964"
182,0,"18.2536","24.6163","20.1032"
183,0,"18.5669","24.8297","21.1905"
184,0,"18.8637","25.0468","22.3424"
185,0,"19.1786","25.2151","23.5041"
186,0,"19.4972","25.4782","24.8136"
187,0,"19.8329","25.6663","26.2027"
188,0,"20.1556","25.9344","27.6722"
189,0,"20.5375","26.2323","29.2182"
190,0,"20.9114","26.5655","30.8735"
191,0,"21.2706","26.8931","32.6128"
192,0,"21.6334","27.2868","34.4936"
193,0,"21.9833","27.6496","36.389"
194,0,"22.3197","28.0873","38.4156"
195,0,"22.6557","28.5104","40.4973"
196,0,"22.9736","28.9391","42.6417"
197,0,"23.2727","29.337","44.8395"
198,0,"23.6256","29.7498","47.0816"
199,0,"23.9499","30.1722","49.3873"
200,0,"24.2726","30.5622","51.7929"
201,0,"24.5777","31.0086","54.2694"
202,0,"24.9635","31.4164","56.8313"
203,0,"25.286","31.8063","59.4719"
204,0,"25.6019","32.2355","62.1979"
205,0,"25.9367","32.6223","64.9285"
206,0,"26.2594","33.0304","67.7662"
207,0,"26.5467","33.4368","70.6637"
208,0,"26.8833","33.8833","73.6028"
209,0,"27.181","34.3169","76.6166"
210,0,"27.4907","34.7766","79.7083"
211,0,"27.8177","35.2394","82.8371"
212,0,"28.0873","35.6714","86.0255"
213,0,"28.4093","36.1363","89.22"
214,0,"28.7286","36.5786","92.4747"
215,0,"29.0364","37.0207","95.7455"
216,0,"29.302","37.4029","99.0413"
217,0,"29.6174","37.8136","102.37"
218,0,"29.8956","38.2165","105.726"
219,0,"30.19","38.6031","109.132"
220,0,"30.5143","38.984","112.555"
221,0,"30.8298","39.3522","116.029"
222,0,"31.1626","39.7295","119.498"
223,0,"31.4662","40.1065","123.036"
224,0,"31.7689","40.4799","126.61"
225,0,"32.0363","40.8034","130.189"
226,0,"32.319","41.2259","133.844"
227,0,"32.6763","41.5541","137.48"
228,0,"32.9152","41.907","141.167"
229,0,"33.218","42.2119","144.848"
230,0,"33.5161","42.4945","148.536"
231,0,"33.8366","42.7802","152.24"
232,0,"34.1","43.0411","155.98"
233,0,"34.4105","43.3216","159.792"
234,0,"34.696","43.528","163.583"
235,0,"35.0087","43.7656","167.436"
236,0,"35.2684","43.977","171.309"
237,0,"35.5578","44.1888","175.188"
238,0,"35.7895","44.3484","179.08"
239,0,"36.121","44.5437","183.014"
240,0,"36.392","44.7305","186.925"
241,0,"36.665","44.9002","190.853"
242,0,"36.95","45.0071","194.741"
243,0,"37.2718","45.1426","198.698"
244,0,"37.4767","45.2061","202.592"
245,0,"37.7662","45.3092","206.532"
246,0,"38.0659","45.3982","210.475"
247,0,"38.3107","45.4675","214.445"
248,0,"38.5597","45.5073","218.385"
249,0,"38.8274","45.5601","222.301"
250,0,"39.0843","45.5746","226.219"
251,0,"39.3309","45.5843","230.103"
252,0,"39.5614","45.5922","233.993"
253,0,"39.8253","45.5412","237.836"
254,0,"40.0775","45.5326","241.714"
255,0,"40.3003","45.4957","245.594"
256,0,"40.5328","45.4098","249.395"
257,0,"40.7338","45.3353","253.178"
258,0,"40.9388","45.2627","256.979"
259,0,"41.1641","45.159","260.746"
260,0,"41.3629","45.0869","264.521"
261,0,"41.5899","44.9917","268.247"
262,0,"41.7956","44.8807","271.932"
263,0,"41.9842","44.7176","275.569"
264,0,"42.181","44.5863","279.216"
265,0,"42.3729","44.4474","282.846"
266,0,"42.5504","44.3237","286.455"
267,0,"42.6965","44.1601","290.041"
268,0,"42.9056","43.9802","293.526"
269,0,"43.0376","43.8149","297.012"
270,0,"43.1982","43.616","300.418"
271,0,"43.3476","43.4274","303.817"
272,0,"43.4816","43.2229","307.165"
273,0,"43.6288","43.0202","310.479"
274,0,"43.752","42.8319","313.786"
275,0,"43.8792","42.6103","317.004"
276,0,"43.975","42.3915","320.195"
277,0,"44.0676","42.1637","323.314"
278,0,"44.2102","41.955","326.412"
279,0,"44.3048","41.7316","329.483"
280,0,"44.4234","41.512","332.459"
281,0,"44.5221","41.3147","335.465"
282,0,"44.6136","41.0814","338.415"
283,0,"44.699","40.8614","341.282"
284,0,"44.7675","40.6018","344.057"
285,0,"44.8547","40.3835","346.835"
286,0,"44.9307","40.1614","349.558"
287,0,"45.0303","39.9433","352.221"
288,0,"45.0713","39.7206","354.828"
289,0,"45.0893","39.42","357.323"
290,0,"45.1342","39.1415","359.803"
291,0,"45.1664","38.9182","362.226"
292,0,"45.17","38.6442","364.61"
293,0,"45.2071","38.4526","367.002"
294,0,"45.2326","38.2389","369.361"
295,0,"45.2723","38.0561","371.649"
296,0,"45.2786","37.8188","373.815"
297,0,"45.3014","37.6232","375.936"
298,0,"45.2777","37.3648","378.012"
299,0,"45.2769","37.1749","380.072"
300,0,"45.2348","36.9458","382.113"
301,0,"45.2288","36.7297","384.091"
302,0,"45.1856","36.5164","386.039"
303,0,"45.1529","36.294","387.905"
304,0,"45.1087","36.0713","389.736"
305,0,"45.0526","35.8765","391.517"
306,0,"45.0471","35.6985","393.267"
307,0,"44.9921","35.5567","395.053"
308,0,"44.95","35.3906","396.809"
309,0,"44.8818","35.2453","398.51"
310,0,"44.8276","35.1224","400.19"
311,0,"44.7426","34.9532","401.82"
312,0,"44.6953","34.8256","403.461"
313,0,"44.6372","34.7075","405.021"
314,0,"44.5545","34.5509","406.563"
315,0,"44.5096","34.4296","408.068"
316,0,"44.416","34.282","409.49"
317,0,"44.3271","34.1259","410.938"
318,0,"44.2419","34.0111","412.398"
319,0,"44.1404","33.9506","413.883"
320,0,"44.0482","33.8598","415.367"
321,0,"43.926","33.7768","416.843"
322,0,"43.8032","33.7093","418.286"
323,0,"43.7397","33.636","419.651"
324,0,"43.6321","33.5762","421.032"
325,0,"43.5218","33.4588","422.348"
326,0,"43.4248","33.3968","423.679"
327,0,"43.3368","33.3437","425.023"
328,0,"43.1463","33.2422","426.33"
329,0,"43.0556","33.1676","427.689"
330,0,"42.9167","33.0831","429.009"
331,0,"42.783","33.0608","430.338"
332,0,"42.7011","33.0677","431.669"
333,0,"42.5655","33.0533","432.964"
334,0,"42.4506","33.0236","434.235"
335,0,"42.3842","33.0548","435.495"
336,0,"42.2305","33.0164","436.716"
337,0,"42.1133","32.9667","437.944"
338,0,"41.9669","32.9322","439.207"
339,0,"41.7983","32.9046","440.429"
340,0,"41.7024","32.9133","441.673"
341,0,"41.5422","32.895","442.866"
342,0,"41.4","32.8643","444.011"
343,0,"41.2912","32.8721","445.19"
344,0,"41.171","32.8822","446.359"
345,0,"41.0157","32.896","447.523"
346,0,"40.9271","32.9183","448.71"
347,0,"40.7978","32.8971","449.876"
348,0,"40.6651","32.8875","451.017"
349,0,"40.5162","32.8516","452.136"
350,0,"40.3468","32.8306","453.248"
351,0,"40.2487","32.8289","454.345"
352,0,"40.0923","32.8393","455.493"
353,0,"39.9467","32.86","456.607"
354,0,"39.8111","32.8551","457.676"
355,0,"39.6438","32.8482","458.787"
356,0,"39.5285","32.8195","459.868"
357,0,"39.3726","32.8095","460.915"
358,0,"39.2225","32.7786","461.99"
359,0,"39.0934","32.7751","463.069"
360,0,"38.9239","32.763","464.116"
361,0,"38.7819","32.7597","465.129"
362,0,"38.6249","32.7462","466.13"
363,0,"38.4887","32.7192","467.104"
364,0,"38.3768","32.7313","468.105"
365,0,"38.22","32.7168","469.095"
366,0,"38.0712","32.6595","470.052"
367,0,"37.9364","32.6515","471.012"
368,0,"37.7618","32.5859","471.924"
369,0,"37.6181","32.5373","472.804"
370,0,"37.4933","32.5207","473.691"
371,0,"37.322","32.4605","474.539"
372,0,"37.1924","32.4371","475.408"
373,0,"37.0457","32.4202","476.281"
374,0,"36.8924","32.3583","477.129"
375,0,"36.7569","32.3027","477.961"
376,0,"36.6081","32.2393","478.768"
377,0,"36.4182","32.1577","479.574"
378,0,"36.3073","32.1242","480.401"
379,0,"36.13","32.058","481.204"
380,0,"36.0121","32.0327","481.997"
381,0,"35.9184","32.0169","482.754"
382,0,"35.7656","31.965","483.518"
383,0,"35.6358","31.9131","484.279"
384,0,"35.5028","31.8422","485.058"
385,0,"35.3481","31.7674","485.87"
386,0,"35.1904","31.6518","486.641"
387,0,"35.0388","31.5738","487.399"
388,0,"34.8408","31.4647","488.128"
389,0,"34.7211","31.3958","488.809"
390,0,"34.5386","31.3033","489.514"
391,0,"34.4651","31.2675","490.234"
392,0,"34.3207","31.217","490.956"
393,0,"34.1773","31.1714","491.682"
394,0,"34.012","31.0824","492.439"
395,0,"33.8721","31.0261","493.2"
396,0,"33.6699","30.9136","493.94"
397,0,"33.5193","30.8338","494.674"
398,0,"33.3581","30.7741","495.377"
399,0,"33.2031","30.7009","496.032"
400,0,"33.0724","30.6625","496.68"
401,0,"32.9593","30.636","497.331"
402,0,"32.7915","30.5222","497.934"
403,0,"32.626","30.44","498.611"
404,0,"32.5084","30.3964","499.303"
405,0,"32.3051","30.3375","500.018"
406,0,"32.1948","30.3258","500.719"
407,0,"32.0501","30.261","501.383"
408,0,"31.826","30.1895","502.013"
409,0,"31.715","30.14","502.578"
410,0,"31.5866","30.0668","503.126"
411,0,"31.4359","30.0207","503.711"
412,0,"31.3122","29.9426","504.294"
413,0,"31.1474","29.8901","504.89"
414,0,"31.0017","29.8598","505.506"
415,0,"30.8451","29.7767","506.09"
416,0,"30.7041","29.7751","506.689"
417,0,"30.5786","29.7643","507.279"
418,0,"30.3891","29.7078","507.797"
419,0,"30.2191","29.6724","508.31"
