Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"11.685","22.8151","11.7079"
2,0,"11.7088","22.8352","11.7098"
3,0,"11.7199","22.8448","11.7395"
4,0,"11.7139","22.8458","11.7056"
5,0,"11.7074","22.8307","11.6802"
6,0,"11.6889","22.8269","11.6705"
7,0,"11.6955","22.8228","11.6497"
8,0,"11.7179","22.8368","11.6672"
9,0,"11.7182","22.8474","11.7136"
10,0,"11.6998","22.854","11.7474"
11,0,"11.701","22.8529","11.7374"
12,0,"11.6785","22.834","11.7004"
13,0,"11.669","22.8195","11.6866"
14,0,"11.674","22.8069","11.6639"
15,0,"11.6981","22.8123","11.6571"
16,0,"11.7026","22.8062","11.6523"
17,0,"11.6956","22.7963","11.6597"
18,0,"11.7138","22.8218","11.6872"
19,0,"11.7013","22.8179","11.6885"
20,0,"11.7145","22.8453","11.7289"
21,0,"11.6967","22.8625","11.7451"
22,0,"11.7026","22.8741","11.7619"
23,0,"11.7003","22.8836","11.7482"
24,0,"11.726","22.8741","11.7295"
25,0,"11.7299","22.8475","11.7039"
26,0,"11.705","22.816","11.6655"
27,0,"11.6948","22.8103","11.6521"
28,0,"11.6976","22.7935","11.6525"
29,0,"11.667","22.7993","11.6623"
30,0,"11.6801","22.8038","11.6825"
31,0,"11.6757","22.8234","11.6931"
32,0,"11.6572","22.8169","11.7044"
33,0,"11.6761","22.8395","11.695"
34,0,"11.6919","22.8468","11.687"
35,0,"11.7187","22.8569","11.7145"
36,0,"11.731","22.8785","11.7345"
37,0,"11.7467","22.8738","11.7485"
38,0,"11.7391","22.85","11.7226"
39,0,"11.7217","22.8201","11.7141"
40,0,"11.6869","22.8078","11.694"
41,0,"11.698","22.8189","11.6733"
42,0,"11.7039","22.8283","11.6803"
43,0,"11.7123","22.8357","11.6883"
44,0,"11.6876","22.8209","11.68"
45,0,"11.694","22.8199","11.6409"
46,0,"11.718","22.8323","11.6423"
47,0,"11.6799","22.8238","11.6643"
48,0,"11.694","22.8165","11.6964"
49,0,"11.6991","22.8527","11.7202"
50,0,"11.6786","22.8463","11.7438"
51,0,"11.6797","22.8489","11.7481"
52,0,"11.6792","22.8623","11.7294"
53,0,"11.6956","22.8515","11.7277"
54,0,"11.6952","22.8336","11.6876"
55,0,"11.7134","22.8518","11.6955"
56,0,"11.7147","22.8357","11.6711"
57,0,"11.6955","22.8458","11.6649"
58,0,"11.6954","22.8529","11.667"
59,0,"11.7141","22.8597","11.6607"
60,0,"11.6867","22.8471","11.6931"
61,0,"11.6757","22.83","11.7246"
62,0,"11.668","22.8316","11.7297"
63,0,"11.6682","22.8261","11.7086"
64,0,"11.6589","22.8129","11.6747"
65,0,"11.6692","22.8016","11.6569"
66,0,"11.6915","22.7914","11.6311"
67,0,"11.6977","22.7921","11.6392"
68,0,"11.6847","22.8068","11.6677"
69,0,"11.693","22.8134","11.6811"
70,0,"11.7052","22.8357","11.7042"
71,0,"11.7097","22.8523","11.7114"
72,0,"11.6936","22.8651","11.7463"
73,0,"11.7085","22.8652","11.7539"
74,0,"11.6955","22.8569","11.7169"
75,0,"11.7033","22.8501","11.7087"
76,0,"11.7016","22.8392","11.6764"
77,0,"11.7128","22.8311","11.6486"
78,0,"11.7035","22.8012","11.6439"
79,0,"11.6899","22.8012","11.6387"
80,0,"11.703","22.8018","11.6691"
81,0,"11.6833","22.804","11.6763"
82,0,"11.6851","22.8241","11.7119"
83,0,"11.6866","22.8228","11.7276"
84,0,"11.6857","22.8265","11.7432"
85,0,"11.6877","22.8334","11.7575"
86,0,"11.702","22.8474","11.7341"
87,0,"11.7097","22.8603","11.7259"
88,0,"11.7216","22.8763","11.6831"
89,0,"11.738","22.8641","11.6832"
90,0,"11.7285","22.8463","11.6819"
91,0,"11.7382","22.826","11.6646"
92,0,"11.6997","22.8173","11.6703"
93,0,"11.6877","22.8115","11.705"
94,0,"11.68","22.828","11.7227"
95,0,"11.6888","22.8268","11.7426"
96,0,"11.6776","22.8382","11.7428"
97,0,"11.6872","22.845","11.7308"
98,0,"11.6963","22.8567","11.7082"
99,0,"11.6964","22.8389","11.6606"
100,0,"11.7035","22.8244","11.6306"
101,0,"11.6697","22.8143","11.6644"
102,0,"11.6875","22.8202","11.6867"
103,0,"11.6795","22.8194","11.7076"
104,0,"11.6891","22.8442","11.7442"
105,0,"11.6845","22.8344","11.7465"
106,0,"11.7024","22.8593","11.7104"
107,0,"11.6783","22.8377","11.6519"
108,0,"11.7147","22.8302","11.6305"
109,0,"11.6798","22.8287","11.631"
110,0,"11.6997","22.8273","11.629"
111,0,"11.6857","22.8031","11.6112"
112,0,"11.6582","22.8062","11.6915"
113,0,"11.666","22.8031","11.7322"
114,0,"11.644","22.808","11.7236"
115,0,"11.6128","22.784","11.6911"
116,0,"11.6306","22.7382","11.6782"
117,0,"11.6723","22.8067","11.6848"
118,0,"11.6935","22.8123","11.678"
119,0,"11.7669","22.8553","11.6525"
120,0,"11.7962","22.8726","11.6224"
121,0,"11.8556","22.9346","11.6507"
122,0,"11.8987","22.9582","11.6866"
123,0,"11.9058","22.9844","11.7036"
124,0,"11.9359","23.0011","11.7385"
125,0,"11.9506","23.0072","11.741"
126,0,"11.9951","23.0498","11.7258"
127,0,"12.0199","23.0641","11.7179"
128,0,"12.0587","23.1509","11.6767"
129,0,"12.0652","23.2497","11.6954"
130,0,"12.0719","23.343","11.7405"
131,0,"12.0754","23.4384","11.7358"
132,0,"12.0631","23.5342","11.7271"
133,0,"12.0903","23.6972","11.7465"
134,0,"12.0719","23.8324","11.7732"
135,0,"12.0253","23.9752","11.8502"
136,0,"12.0245","24.1243","11.8657"
137,0,"11.9646","24.2967","11.8866"
138,0,"11.9645","24.4289","11.8176"
139,0,"11.908","24.5815","11.7924"
140,0,"11.8337","24.6546","11.8136"
141,0,"11.7692","24.7394","11.8801"
