Frame,Sub Frame,"Position - cf14",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
152,0,"10.4928","26.4889","11.9108"
153,0,"10.4105","26.6643","11.9145"
154,0,"10.338","26.8019","11.9723"
155,0,"10.2857","26.9321","11.9091"
156,0,"10.2369","27.0621","11.8956"
157,0,"10.2064","27.1645","11.8305"
158,0,"10.1553","27.3378","11.9091"
159,0,"10.0749","27.4824","11.9057"
160,0,"10.0007","27.6697","11.8398"
161,0,"9.93124","27.8551","11.881"
162,0,"9.89333","28.046","11.856"
163,0,"9.82119","28.2292","11.9014"
164,0,"9.79533","28.4217","11.9156"
165,0,"9.73841","28.6182","11.8597"
166,0,"9.67116","28.7542","11.9232"
167,0,"9.62013","28.9505","11.9798"
168,0,"9.6039","29.0907","11.9582"
169,0,"9.56037","29.2821","11.9195"
170,0,"9.53952","29.4382","11.8799"
171,0,"9.4905","29.6557","11.8631"
172,0,"9.49389","29.8112","11.9218"
173,0,"9.48253","30.0166","11.9444"
174,0,"9.47476","30.1545","11.9171"
175,0,"9.49037","30.3348","11.9045"
176,0,"9.50785","30.4714","11.9233"
177,0,"9.53898","30.6661","11.9841"
178,0,"9.5677","30.831","12.0168"
179,0,"9.56719","31.0154","11.9903"
180,0,"9.57769","31.228","11.9136"
181,0,"9.58505","31.4364","11.9147"
182,0,"9.6178","31.6206","11.912"
183,0,"9.64431","31.7503","11.9311"
184,0,"9.67143","31.8923","12.007"
185,0,"9.67588","32.0804","12.1104"
186,0,"9.71998","32.2075","12.1161"
187,0,"9.75028","32.3771","12.1849"
188,0,"9.76465","32.5933","12.3013"
189,0,"9.78289","32.7759","12.4437"
190,0,"9.80663","33.0101","12.6229"
191,0,"9.84862","33.1551","12.8004"
192,0,"9.89079","33.3258","13.0545"
193,0,"9.94533","33.4819","13.3677"
194,0,"10.0045","33.6557","13.73"
195,0,"10.0896","33.7867","14.144"
196,0,"10.1706","33.9376","14.6758"
197,0,"10.3363","34.0656","15.2461"
198,0,"10.4856","34.2458","15.8391"
199,0,"10.6043","34.3418","16.4523"
200,0,"10.7514","34.4409","17.1073"
201,0,"10.9441","34.5553","17.8696"
202,0,"11.1593","34.6371","18.7844"
203,0,"11.4015","34.7769","19.792"
204,0,"11.6206","34.8245","20.8687"
