State Estimate X,State Estimate Y,State Estimate Z
0.0017957298550754786,5.132281148689799e-05,0.0023793205618858337
0.0017567790346220136,3.763314089155756e-05,0.002470009494572878
0.0017629918875172734,6.427719199564308e-06,0.0025272571947425604
0.0018319229129701853,-1.3756396583630703e-05,0.002627166686579585
0.0018396052764728665,-4.391278343973681e-05,0.002690658438950777
0.001841569785028696,-7.491694123018533e-05,0.0027546389028429985
0.0019912878051400185,8.912831981433555e-05,0.0021193253342062235
0.0017224798211827874,0.00010934619058389217,0.002207651734352112
0.001700271270237863,8.188385254470631e-05,0.002249761950224638
0.0014948421157896519,0.00010455953452037647,0.0023937358055263758
0.0014509842731058598,7.92229620856233e-05,0.0024479120038449764
0.0014002175303176045,9.187246905639768e-05,0.002620374085381627
0.0014940600376576185,0.0005137560074217618,0.001967776333913207
0.0014957329258322716,0.0005312746507115662,0.0021069240756332874
0.0014405885012820363,0.0005285050137899816,0.0021512785460799932
0.001312363427132368,0.0005500466213561594,0.0022540995851159096
0.0012449907371774316,0.0005498580867424607,0.0023084748536348343
0.0012131878174841404,0.0005492373020388186,0.002362709492444992
0.0012566919904202223,0.00044368868111632764,0.0020329507533460855
0.0011868959991261363,0.00043449009535834193,0.0020681542810052633
0.0011155398096889257,0.000425641774199903,0.002120552584528923
0.0010440618498250842,0.00041728527867235243,0.002193642081692815
0.0009731044992804527,0.0004073524323757738,0.0022835233248770237
0.0011214703554287553,0.00040862514288164675,0.0025017387233674526
0.0011612545931711793,0.00012389849871397018,0.0022258819080889225
0.001295228023082018,0.00011324950901325792,0.0024257067125290632
0.0013471690472215414,-6.6795232669392135e-06,0.002093417104333639
0.0013211793266236782,-5.7723202189663425e-05,0.0020270957611501217
0.0012990112882107496,-0.00010902922076638788,0.0019725714810192585
0.0013388307997956872,-0.00011370345600880682,0.0021413397043943405
0.0014068303862586617,-0.00014587026089429855,0.0018894252134487033
0.0014767864486202598,-0.000139680239954032,0.0021890955977141857
0.0015581746120005846,-0.00011417130735935643,0.002067824359983206
0.0015746973222121596,-0.0001441321219317615,0.0022599659860134125
0.0015958696603775024,-0.00017294182907789946,0.0024961146991699934
0.0016225770814344287,-0.00020171186770312488,0.0027771196328103542
0.0017501052934676409,-0.00024901493452489376,0.002829581731930375
0.0017929854802787304,-0.0002777546760626137,0.003214908530935645
0.0018395899096503854,-0.00030271202558651567,0.0036533400416374207
0.002299355808645487,-0.00023298490850720555,0.004607135895639658
0.0024536133278161287,-8.274114952655509e-05,0.004826774820685387
0.002681995742022991,-6.828990080975927e-06,0.005723909474909306
0.0028729683253914118,0.00025412795366719365,0.006055111065506935
0.0030093430541455746,0.00029963915585540235,0.006807959638535976
0.003163242246955633,0.0003524604835547507,0.007646520622074604
0.0036244322545826435,0.00046171442954801023,0.00884133018553257
0.003908321261405945,0.0005176826380193233,0.00949903018772602
0.004131162539124489,0.0005854969494976103,0.010505970567464828
0.004438078962266445,0.0007468138355761766,0.011255325749516487
0.004893310833722353,0.0008947208989411592,0.012660526670515537
0.005166418384760618,0.0009882268495857716,0.013870366849005222
0.005689679179340601,0.0011166102485731244,0.015341950580477715
0.005991409067064524,0.001229292363859713,0.016721824184060097
0.006446729879826307,0.0013651027111336589,0.0182651299983263
0.006766465958207846,0.0015001851134002209,0.01981116645038128
0.007090050261467695,0.0016449985560029745,0.021434839814901352
0.007566029205918312,0.0021777076181024313,0.022487252950668335
0.008062975481152534,0.002394027542322874,0.024413123726844788
0.008408447727560997,0.002579903230071068,0.026228591799736023
0.008754103444516659,0.002771996660158038,0.02811780385673046
0.009099060669541359,0.0029719145968556404,0.030089428648352623
0.009442460723221302,0.0031807846389710903,0.03214094415307045
0.00978321023285389,0.0033988216891884804,0.03427915647625923
0.010119810700416565,0.0036248473916202784,0.03651212900876999
0.010450462810695171,0.0038564023561775684,0.038840729743242264
0.011268246918916702,0.004133406560868025,0.041540659964084625
0.01182151585817337,0.0052258726209402084,0.042918670922517776
0.01255897618830204,0.005515549797564745,0.04575858265161514
0.012908869422972202,0.00577779533341527,0.04848045855760574
0.013245068490505219,0.006029951386153698,0.051320984959602356
0.013706862926483154,0.006743458099663258,0.05358782410621643
0.014324171468615532,0.0070384712889790535,0.05693653225898743
0.014735683798789978,0.007489533629268408,0.05970253050327301
0.015295680612325668,0.007770251017063856,0.0632617250084877
0.015595801174640656,0.008014611899852753,0.06672817468643188
0.015876302495598793,0.008251108229160309,0.0703219547867775
0.016136428341269493,0.008478114381432533,0.07406001538038254
0.016656093299388885,0.008682609535753727,0.07799459993839264
0.016893737018108368,0.0088831577450037,0.08202368766069412
0.017372503876686096,0.009069295600056648,0.08627144992351532
0.01758815348148346,0.00923878327012062,0.09058620035648346
0.017784111201763153,0.009392070583999157,0.09504134953022003
0.01795908808708191,0.009528911672532558,0.09964193403720856
0.01811261475086212,0.009649315848946571,0.10438133031129837
0.018244925886392593,0.009753349237143993,0.10924886167049408
0.018929366022348404,0.009704174473881721,0.1140090674161911
0.01905357651412487,0.00976577028632164,0.11913107335567474
0.019158821552991867,0.009809098206460476,0.12439008802175522
0.01924571394920349,0.009833223186433315,0.12978455424308777
0.0200625229626894,0.009676852263510227,0.1350841224193573
0.020442577078938484,0.011155775748193264,0.13906227052211761
0.020534127950668335,0.011176671832799911,0.1447855681180954
0.020605912432074547,0.011178864166140556,0.15065614879131317
0.021224606782197952,0.011049524880945683,0.15651603043079376
0.021290605887770653,0.011010352522134781,0.16268549859523773
0.02177773229777813,0.01083412766456604,0.16877204179763794
